DATE,vwretd,totval
20180131,0.050626,37602674400.00
20180228,-0.039510,36016443600.00
20180329,-0.018454,35243064800.00
20180430,0.004710,35372967200.00
20180531,0.026175,36266345500.00
20180629,0.005364,36291978400.00
20180731,0.031604,37421065200.00
20180831,0.030205,38387025300.00
20180928,0.000432,38311082000.00
20181031,-0.074075,35449842900.00
20181130,0.018489,35936558200.00
20181231,-0.089888,32575377900.00
20190131,0.088295,35370701500.00
20190228,0.032724,36363016600.00
20190329,0.012963,36757947900.00
20190430,0.037888,38106321200.00
20190531,-0.061678,35725933300.00
20190628,0.067279,38172745400.00
20190731,0.011854,38562405300.00
20190830,-0.020339,37654647500.00
20190930,0.016033,38169097200.00
20191031,0.019256,38822103600.00
20191129,0.034996,40069623500.00
20191231,0.028492,41157112900.00
20200131,-0.001728,41059616000.00
20200228,-0.077918,37777392900.00
20200331,-0.141731,32333470400.00
20200430,0.129677,36503169700.00
20200529,0.053737,38384625200.00
20200630,0.025300,39435787300.00
20200731,0.055528,41717833600.00
20200831,0.068444,44607995900.00
20200930,-0.035060,43111516700.00
